id,rank,title,release_year,audience,nationality,distributor,score,director,genre,running_time,grade,story,poster_url
11,11,"광해, 왕이 된 남자",2012,12319542,한국,씨제이이앤엠(주),9.24,추창민,드라마,131분,15세 관람가,"왕위를 둘러싼 권력 다툼과 붕당정치로 혼란이 극에 달한 광해군 8년. 자신의 목숨을 노리는 자들에 대한 분노와 두려움으로 점점 난폭해져 가던 왕 ‘광해’는 도승지 ‘허균’에게 자신을 대신하여 위협에 노출될 대역을 찾을 것을 지시한다.

이에 허균은 기방의 취객들 사이에 걸쭉한 만담으로 인기를 끌던 하선을 발견한다. 왕과 똑같은 외모는 물론 타고난 재주와 말솜씨로 왕의 흉내도 완벽하게 내는 하선. 영문도 모른 채 궁에 끌려간 하선은 광해군이 자리를 비운 하룻밤 가슴 조이며 왕의 대역을 하게 된다.

왕이 되어선 안 되는 남자, 조선의 왕이 되다!

그러던 어느 날 광해군이 갑자기 의식을 잃고 쓰러지는 엄청난 사건이 발생하고, 허균은 광해군이 치료를 받는 동안 하선에게 광해군을 대신하여 왕의 대역을 할 것을 명한다. 저잣거리의 한낱 만담꾼에서 하루아침에 조선의 왕이 되어버린 천민 하선. 허균의 지시 하에 말투부터 걸음걸이, 국정을 다스리는 법까지, 함부로 입을 놀려서도 들켜서도 안 되는 위험천만한 왕노릇을 시작한다. 하지만 예민하고 난폭했던 광해와는 달리 따뜻함과 인간미가 느껴지는 달라진 왕의 모습에 궁정이 조금씩 술렁이고, 점점 왕의 대역이 아닌 자신의 목소리를 내기 시작하는 하선의 모습에 허균도 당황하기 시작하는데...",https://movie-phinf.pstatic.net/20121018_114/13505269047497LGt6_JPEG/movie_image.jpg
12,12,왕의 남자,2005,12302831,한국,(주)시네마서비스,9.03,이준익,드라마,119분,15세 관람가,"조선시대 연산조. 남사당패의 광대 장생(감우성 분)은 힘있는 양반들에게 농락당하던 생활을 거부하고,

자신의 하나뿐인 친구이자 최고의 동료인 공길(이준기 분)과 보다 큰 놀이판을 찾아 한양으로 올라온다.

타고난 재주와 카리스마로 놀이패 무리를 이끌게 된 장생은 공길과 함께

연산(정진영 분)과 그의 애첩인 녹수(강성연 분)를 풍자하는 놀이판을 벌여 한양의 명물이 된다.

공연은 대성공을 이루지만, 그들은 왕을 희롱한 죄로 의금부로 끌려간다.

의금부에서 문초에 시달리던 장생은 특유의 당당함을 발휘해 왕을 웃겨 보이겠다고 호언장담하지만

막상 왕 앞에서 공연을 시작하자 모든 광대들이 얼어붙는다.

장생 역시 극도의 긴장감 속에서 왕을 웃기기 위해 갖은 노력을 하지만 왕은 꿈쩍도 하지 않고...

바로 그 때 얌전하기만 한 공길이 기지를 발휘해 특유의 앙칼진 연기를 선보이자 왕은 못 참겠다는 듯이 크게 웃어버린다.

이들의 공연에 흡족한 왕은 궁 내에 광대들의 거처, 희락원(喜樂園)을 마련해 준다.

궁에 들어온 광대들은 신바람이 나서 탐관오리의 비리를 풍자하는 공연을 선보이고, 왕은 즐거워한다.

하지만 중신들의 분위기가 싸늘함을 감지한 왕이

중신 중 한 명을 웃지 않는다며 탐관오리라는 명목으로 형벌을 내리고 연회장엔 긴장감이 감돈다.

연이은 연회에서 광대들은 여인들의 암투로 인해 왕이 후궁에게 사약을 내리는 경극을 연기하고,

연산은 같은 이유로 왕에게 사약을 받았던 생모 폐비 윤씨를 상기하며 진노하여

그 자리에서 선왕의 여자들을 칼로 베어 죽게 한다.

공연을 할 때마다 궁이 피바다로 변하자,

흥을 잃은 장생은 궁을 떠나겠다고 하지만 공길은 알 수 없는 이유로 남겠다고 한다.

그 사이 왕에 반발한 중신들은 광대를 쫓기 위한 음모를 꾸미고

왕의 관심을 광대에게 빼앗겼다는 질투심에 휩싸인 녹수 역시 은밀한 계략을 꾸민다.",https://movie-phinf.pstatic.net/20111222_256/1324561473103r8SK5_JPEG/movie_image.jpg
13,13,신과함께-인과 연,2018,12274996,한국,롯데컬처웍스(주)롯데엔터테인먼트,7.71,김용화,판타지,141분,12세 관람가,"천 년 동안 48명의 망자를 환생시킨 저승 삼차사, 한 명만 더 환생시키면 그들도 새로운 삶을 얻을 수 있다.

하지만 강림(하정우)은 원귀였던 수홍(김동욱)을 자신들의 마지막 귀인으로 정하는 이해할 수 없는 선택을 한다.

저승법 상 원귀는 소멸되어야 마땅하나 염라대왕(이정재)은 저승 삼차사에게 새로운 조건을 내걸며 강림의 제안을 수락한다.

염라의 조건은 성주신(마동석)이 버티고 있어 저승 차사들이 가는 족족 실패하는 허춘삼 노인을 수홍의 재판이 끝나기 전까지 저승으로 데려오는 것.



허춘삼을 데리러 이승으로 내려간 해원맥(주지훈)과 덕춘(김향기), 하지만 성주신의 막강한 힘 앞에 속수무책으로 당하기만 하던 중 우연히 그가 천 년 전 과거에 해원맥과 덕춘을 저승으로 데려간 저승 차사였다는 사실을 알게 된다.

스스로도 기억 못 하는 과거에 대한 호기심으로 해원맥과 덕춘은 성주신과 거래를 시작하는데…



이승과 저승, 현재와 과거를 오가는 천 년의 비밀이 밝혀진다!",https://movie-phinf.pstatic.net/20180703_65/15305852198817R6a1_JPEG/movie_image.jpg
14,14,택시운전사,2017,12186684,한국,(주)쇼박스,9.04,장훈,드라마,137분,15세 관람가,"택시운전사 만섭(송강호)은 외국손님을 태우고 광주에 갔다 통금 전에 돌아오면

밀린 월세를 갚을 수 있는 거금 10만원을 준다는 말에

독일기자 피터(토마스 크레취만)를 태우고 영문도 모른 채 길을 나선다.



광주 그리고 사람들. “모르겄어라, 우덜도 우덜한테 와 그라는지…”

어떻게든 택시비를 받아야 하는 만섭의 기지로 검문을 뚫고 겨우 들어선 광주.

위험하니 서울로 돌아가자는 만섭의 만류에도

피터는 대학생 재식(류준열)과 황기사(유해진)의 도움 속에 촬영을 시작한다.

그러나 상황은 점점 심각해지고 만섭은 집에 혼자 있을 딸 걱정에 점점 초조해지는데…",https://movie-phinf.pstatic.net/20170717_298/1500253295782rcIkE_JPEG/movie_image.jpg
15,15,태극기 휘날리며,2004,11746135,한국,(주)쇼박스,9.17,강제규,전쟁,145분,15세 관람가,"1950년 6월.. 서울 종로거리에서 가족의 생계를 책임지기 위해 열심히 살아가는 ‘진태’(장동건)는 힘든 생활 속에도 약혼녀 ‘영신’(이은주)과의 결혼과, 세상에서 가장 소중하게 생각하는 동생 ‘진석’(원빈)의 대학진학을 위해 언제나 활기차고 밝은 생활을 해 나간다.

6월의 어느 날, 한반도에 전쟁이 일어났다는 호회가 배포되면서 평화롭기만 하던 서울은 순식간에 싸이렌 소리와 폭발음, 그리고 사람들의 비명 소리로 가득해진다. 이에 , 남쪽으로 피난을 결정한 ‘진태’는 ‘영신’과 가족들을 데리고 수많은 피난행렬에 동참하지만, 피난열차를 타기 위해 도착한 대구역사에서 거대한 운명의 소용돌이에 말려들고 만다. 만 18세로 징집 대상이었던 ‘진석’은 군인들에 의해 강제로 군용열차로 오르게 되고 ‘진석’을 되 찾아오기 위해 열차에 뛰어오른 ‘진태’ 또한 징집이 되어 군용열차에 몸을 싣게 된다.

평온한 일상에서 피 튀기는 전쟁터로 내 몰린 ‘진태’와 ‘진석’은 훈련받을 시간조차 없이 국군 최후의 보루인 낙동강 방어선으로 실전 투입이 되고 동생과 같은 소대에 배치된 ‘진태’는 동생의 징집해제를 위해 대대장을 만나게 된다. 대대장과의 면담을 통해 동생의 제대를 위해 자신이 해야 할 최선의 것이 무엇인지를 느끼게 된 ‘진태’는 그 무엇보다 동생의 생존을 위해 총을 들며 영웅이 되기를 자처하는데.. ‘진태’의 혁혁한 전과로 낙동강 방어선을 지키는데 성공한 국군은 인천상륙작전이 성공했다는 소식을 듣고 드디어 북진을 시작한다.

애국 이념도 민주 사상도 없이 오직, 동생의 생존을 위한다는 이유 하나로 전쟁영웅이 되어가고 있는 ‘진태’와 전쟁을 통해 스스로 강해져야만 살아남을 수 있다는 것을 깨달은 ‘진석’은 수많은 전투에서 승리를 거두며 승승장구 평양으로 향하는데, 생각지도 못했던 운명의 덫이 그들 형제를 기다리고 있었다.",https://movie-phinf.pstatic.net/20111223_228/13245675882111bIDX_JPEG/movie_image.jpg
16,16,부산행,2016,11565479,한국,(주)넥스트엔터테인먼트월드(NEW),7.99,연상호,액션,118분,15세 관람가,"정체불명의 바이러스가 전국으로 확산되고 대한민국 긴급재난경보령이 선포된 가운데,

열차에 몸을 실은 사람들은 단 하나의 안전한 도시 부산까지

살아가기 위한 치열한 사투를 벌이게 된다.

서울에서 부산까지의 거리 442KM

지키고 싶은, 지켜야만 하는 사람들의 극한의 사투!",https://movie-phinf.pstatic.net/20160720_9/1469001478520W9vSu_JPEG/movie_image.jpg
17,17,해운대,2009,11453338,한국,씨제이엔터테인먼트,7.47,윤제균,모험,120분,12세 관람가,"2004년 역사상 유례없는 최대의 사상자를 내며 전세계에 엄청난 충격을 안겨준 인도네시아 쓰나미. 당시 인도양에 원양어선을 타고 나갔던 해운대 토박이 만식은 예기치 못한 쓰나미에 휩쓸리게 되고, 단 한 순간의 실수로 그가 믿고 의지했던 연희 아버지를 잃고 만다. 이 사고 때문에 그는 연희를 좋아하면서도 자신의 마음을 숨길 수 밖에 없다. 그러던 어느 날, 만식은 오랫동안 가슴 속에 담아두었던 자신의 마음을 전하기로 결심하고 연희를 위해 멋진 프로포즈를 준비한다.

한편 국제해양연구소의 지질학자 김휘 박사는 대마도와 해운대를 둘러싼 동해의 상황이 5년전 발생했던 인도네시아 쓰나미와 흡사하다는 엄청난 사실을 발견하게 된다. 그는 대한민국도 쓰나미에 안전하지 않다고 수차례 강조하지만 그의 경고에도 불구하고 재난 방재청은 지질학적 통계적으로 쓰나미가 한반도를 덮칠 확률은 없다고 단언한다. 그 순간에도 바다의 상황은 시시각각 변해가고, 마침내 김휘 박사의 주장대로 일본 대마도가 내려 앉으면서 초대형 쓰나미가 생성된다. 한여름 더위를 식히고 있는 수백만의 휴가철 인파와 평화로운 일상을 보내고 있는 부산 시민들, 그리고 이제 막 서로의 마음을 확인한 만식과 연희를 향해 초대형 쓰나미가 시속 800km의 빠른 속도로 밀려오는데…

가장 행복한 순간 닥쳐온 엄청난 시련, 남은 시간은 단 10분! 그들은 가장 소중한 것을 지켜내야만 한다!",https://movie-phinf.pstatic.net/20111223_60/1324590429026hhy5E_JPEG/movie_image.jpg
18,18,변호인,2013,11374610,한국,(주)넥스트엔터테인먼트월드(NEW),8.98,양우석,드라마,127분,15세 관람가,"1980년대 초 부산.

빽 없고, 돈 없고, 가방끈도 짧은 세무 변호사 송우석(송강호). 부동산 등기부터 세금 자문까지 남들이 뭐라든 탁월한 사업수완으로 승승장구하며 부산에서 제일 잘나가고 돈 잘 버는 변호사로 이름을 날린다.

대기업의 스카우트 제의까지 받으며 전국구 변호사 데뷔를 코 앞에 둔 송변. 하지만 우연히 7년 전 밥값 신세를 지며 정을 쌓은 국밥집 아들 진우(임시완)가 뜻하지 않은 사건에 휘말려 재판을 앞두고 있다는 소식을 듣는다. 국밥집 아줌마 순애(김영애)의 간절한 부탁을 외면할 수 없어 구치소 면회만이라도 도와주겠다고 나선 송변.

하지만 그곳에서 마주한 진우의 믿지 못할 모습에 충격을 받은 송변은 모두가 회피하기 바빴던 사건의 변호를 맡기로 결심하는데...



“제가 하께요, 변호인. 하겠습니더”",https://movie-phinf.pstatic.net/20131203_145/1386034788519v2Vwy_JPEG/movie_image.jpg
19,19,어벤져스: 인피니티 워,2018,11211880,미국,월트디즈니컴퍼니코리아 유한책임회사,8.95,안소니 루소,액션,149분,12세 관람가,"새로운 조합을 이룬 어벤져스,

역대 최강 빌런 타노스에 맞서 세계의 운명이 걸린

인피니티 스톤을 향한 무한 대결이 펼쳐진다!



마블의 클라이맥스를 목격하라!",https://movie-phinf.pstatic.net/20180322_242/15216962441485x5Om_JPEG/movie_image.jpg
20,20,실미도,2003,11081000,한국,(주)시네마서비스,8.55,강우석,전쟁,135분,15세 관람가,"{영화 <실미도>는 1968년 창설된 ‘실미도 684부대’에 관한 영화이며, 영화 속 훈련병들의 출신 성분이나 상황 설정이 과거 혹은 현재의 북파공작부대나 북파공작원과는 무관함을 알려드립니다.}

북으로 간 아버지 때문에 연좌제에 걸려 사회 어느 곳에서도 인간대접 받을 수 없었던 강인찬(설경구 분) 역시 어두운 과거와 함께 뒷골목을 전전하다가 살인미수로 수감된다. 그런 그 앞에 한 군인이 접근, '나라를 위해 칼을 잡을 수 있겠냐'는 엉뚱한 제안을 던지곤 그저 살인미수일 뿐인 그에게 사형을 언도하는데... 누군가에게 이끌려 사형장으로 향하던 인찬, 그러나 그가 도착한 곳은 인천 외딴 부둣가, 그곳엔 인찬 말고도 상필(정재영 분), 찬석(강성진 분), 원희(임원희 분), 근재(강신일 분) 등 시꺼먼 사내들이 잔뜩 모여 있었고 그렇게 1968년 대한민국 서부 외딴 섬 '실미도'에 기관원에 의해 강제차출된 31명이 모인다.

영문 모르고 머리를 깎고 군인이 된 31명의 훈련병들, 그들에게 나타난 의문의 군인은 바로 김재현 준위(안성기 분), 어리둥절한 그들에게 ""주석궁에 침투, 김일성 목을 따 오는 것이 너희들의 임무다""는 한 마디를 시작으로 냉철한 조중사(허준호 분)의 인솔하에 31명 훈련병에 대한 혹독한 지옥훈련이 시작된다.

'684 주석궁폭파부대'라 불리는 계급도 소속도 없는 훈련병과 그들의 감시와 훈련을 맡은 기간병들... ""낙오자는 죽인다, 체포되면 자폭하라!""는 구호하에 실미도엔 인간은 없고 '김일성 모가지 따기'라는 분명한 목적만이 존재해간다.

{조국의 부름에 목숨을 걸고 응답한 청년 기간병들과 분단 조국이 내몰았던 사지의 땅에서 자기 자리를 찾기 위해 울부짖으며 죽어간 서른 한 명 훈련병들의 영혼 앞에 이 영화를 바칩니다}",https://movie-phinf.pstatic.net/20111222_50/1324503591769RwYSb_JPEG/movie_image.jpg
21,21,어벤져스: 에이지 오브 울트론,2015,10494499,미국,월트디즈니컴퍼니코리아(주),8.31,조스 웨던,액션,141분,12세 관람가,"쉴드의 숙적 히드라는 연구를 통해 새로운 능력자 막시모프 남매를 탄생시키고, 히드라의 기지를 공격하는 도중 토니 스타크는 완다 막시모프의 초능력으로 인해 자신이 가장 두려워하는 미래를 보게 된다.

이에 '뉴욕전쟁' 때와 같은 사태가 벌어지지 않도록 스타크는 배너 박사와 함께 지구를 지킬 최강의 인공지능 울트론을 탄생시키게 되지만, 울트론은 예상과 다르게 지배를 벗어나 폭주하기 시작하는데...",https://movie-phinf.pstatic.net/20150324_33/1427159150181p9uQM_JPEG/movie_image.jpg
22,22,겨울왕국,2014,10296101,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),9.12,크리스 벅,애니메이션,108분,전체 관람가,"서로가 최고의 친구였던 자매 ‘엘사’와 ‘안나’. 하지만 언니 ‘엘사’에게는 하나뿐인 동생에게조차 말 못할 비밀이 있다. 모든 것을 얼려버리는 신비로운 힘이 바로 그것. ‘엘사’는 통제할 수 없는 자신의 힘이 두려워 왕국을 떠나고, 얼어버린 왕국의 저주를 풀기 위해 ‘안나’는 언니를 찾아 환상적인 여정을 떠나는데……",https://movie-phinf.pstatic.net/20170418_82/1492496178995pHxdA_JPEG/movie_image.jpg
23,23,인터스텔라,2014,10275484,미국,워너브러더스 코리아(주),9.09,크리스토퍼 놀란,SF,169분,12세 관람가,"세계 각국의 정부와 경제가 완전히 붕괴된 미래가 다가온다.

지난 20세기에 범한 잘못이 전 세계적인 식량 부족을 불러왔고, NASA도 해체되었다.

이때 시공간에 불가사의한 틈이 열리고, 남은 자들에게는 이 곳을 탐험해 인류를 구해야 하는 임무가 지워진다.

사랑하는 가족들을 뒤로 한 채 인류라는 더 큰 가족을 위해, 그들은 이제 희망을 찾아 우주로 간다.

그리고 우린 답을 찾을 것이다. 늘 그랬듯이…",https://movie-phinf.pstatic.net/20160106_138/1452044846608eaFcJ_JPEG/movie_image.jpg
